id_place,id_empleado,id_contrato,provincia,nombre,puesto,nacionalidad,fecha_in,fecha_out,fecha_end,jornada,motivo_baja,genero,fecha_nacimiento,email,nombre_contrato,work_place,supervisor,jefe,estado,edad,dias_empresa,años_empresa,tramo_empresa,tramo_edad,horas_contrato
2,41.0,502,MADRID,Marisa Finley,Designer graphic,ESPAÑA,2019-10-18,2020-02-20,2020-04-17,90.0,Otros,Mujer,1996-08-17,johnschultz@empresa.org,CONTRATO TEMPORAL,South Rebecca,John Jones,Kelsey Richardson,Salida,27.0,179,0.0,HASTA 3 MESES,ENTRE 25 Y 30 AÑOS,CONTRATO DE 30 A 40 HORAS
1,42.0,502,MADRID,Roger Cruz,Designer graphic,ESPAÑA,2019-10-29,2019-12-02,2020-04-28,75.0,Otros,Mujer,1983-09-28,stewartdanny@empresa.org,CONTRATO TEMPORAL,Wesleyland,Todd Duarte,Catherine Walker MD,Salida,40.0,179,0.0,HASTA 3 MESES,MAYOR DE 35 AÑOS,CONTRATO DE 30 A 40 HORAS
2,43.0,402,MADRID,Seth Smith,Theatre manager,ESPAÑA,2019-11-18,2020-01-16,2020-05-17,100.0,Otros,Mujer,1988-01-17,rachel66@empresa.net,CONTRATO TEMPORAL,South Rebecca,John Jones,Kelsey Richardson,Salida,36.0,179,0.0,HASTA 3 MESES,MAYOR DE 35 AÑOS,CONTRATO DE 30 A 40 HORAS
4,44.0,200,CANTABRIA,Jeremiah French,Holiday representative,ESPAÑA,2019-03-01,2020-11-22,2020-11-22,75.0,Baja voluntaria del trabajador,Mujer,1995-03-16,gcooper@example.net,INDEFINIDO,Lake Tracyhaven,John Jones,Kelsey Richardson,Salida,29.0,620,2.0,DE 2 A 3 AÑOS,ENTRE 25 Y 30 AÑOS,CONTRATO DE 30 A 40 HORAS
2,45.0,502,MADRID,Grace Mitchell,Designer graphic,ESPAÑA,2019-12-02,2020-03-01,2020-03-01,90.0,Otros,Mujer,2001-01-30,ahiggins@empresa.org,CONTRATO TEMPORAL,South Rebecca,John Jones,Kelsey Richardson,Salida,23.0,89,0.0,HASTA 3 MESES,MENOR DE 25 AÑOS,CONTRATO DE 30 A 40 HORAS
2,46.0,502,MADRID,Sarah Jenkins,Designer graphic,ESPAÑA,2019-12-03,2020-01-02,2020-03-02,90.0,Fin de contrato temporal,Mujer,1999-11-28,robertmcintyre@empresa.net,CONTRATO TEMPORAL,South Rebecca,John Jones,Kelsey Richardson,Salida,24.0,89,0.0,HASTA 3 MESES,MENOR DE 25 AÑOS,CONTRATO DE 30 A 40 HORAS
1,47.0,189,CACERES,Tiffany Jennings,Equities trader,ESPAÑA,2022-07-11,2023-09-17,2023-09-17,50.0,Despido del trabajador,Mujer,1981-12-11,cbeltran@example.com,INDEFINIDO,Wesleyland,Todd Duarte,Catherine Walker MD,Activo,42.0,426,1.0,DE 1 A 2 AÑOS,MAYOR DE 35 AÑOS,CONTRATO DE 15 A 20 HORAS
309,48.0,200,MADRID,Casey Ruiz,Designer graphic,ESPAÑA,2022-08-22,2023-08-20,2023-09-17,90.0,Baja voluntaria del trabajador,Mujer,1992-06-30,dominicanthony@example.org,INDEFINIDO,Carrieville,Todd Duarte,Catherine Walker MD,Salida,31.0,385,1.0,DE 1 A 2 AÑOS,ENTRE 30 Y 35 AÑOS,CONTRATO DE 30 A 40 HORAS
2,49.0,502,MADRID,Valerie Mcdaniel,Designer graphic,ESPAÑA,2020-02-18,2020-03-13,2020-05-17,50.0,Fin de contrato temporal,Mujer,1997-06-25,driley@empresa.net,CONTRATO TEMPORAL,South Rebecca,John Jones,Kelsey Richardson,Salida,26.0,89,0.0,HASTA 3 MESES,ENTRE 25 Y 30 AÑOS,CONTRATO DE 15 A 20 HORAS
6,50.0,200,VIZCAYA,Katherine Cook,Holiday representative,ESPAÑA,2017-09-26,2018-05-02,2023-09-17,50.0,Baja voluntaria del trabajador,Mujer,1987-04-27,bennettjames@empresa.net,INDEFINIDO,Brownville,John Jones,Kelsey Richardson,Salida,36.0,2151,6.0,MÁS DE 3 AÑOS,MAYOR DE 35 AÑOS,CONTRATO DE 15 A 20 HORAS
10,51.0,200,CANTABRIA,Derrick Thomas,Holiday representative,ESPAÑA,2017-09-28,2019-02-01,2023-09-17,37.5,Otros,Hombre,1995-08-02,dallen@empresa.com,INDEFINIDO,,,,Salida,28.0,2149,6.0,MÁS DE 3 AÑOS,ENTRE 25 Y 30 AÑOS,CONTRATO DE 15 A 20 HORAS
4,52.0,200,CANTABRIA,Jane Williams,Holiday representative,ESPAÑA,2017-09-28,2018-06-28,2023-09-17,50.0,Baja voluntaria del trabajador,Mujer,1993-03-16,smithcynthia@empresa.net,INDEFINIDO,Lake Tracyhaven,John Jones,Kelsey Richardson,Salida,31.0,2149,6.0,MÁS DE 3 AÑOS,ENTRE 30 Y 35 AÑOS,CONTRATO DE 15 A 20 HORAS
6,53.0,200,VIZCAYA,Margaret Carr,Holiday representative,ESPAÑA,2017-09-27,2018-01-27,2018-01-27,37.5,Fin de contrato temporal,Mujer,1996-12-09,gjensen@empresa.net,INDEFINIDO,Brownville,John Jones,Kelsey Richardson,Salida,27.0,120,0.0,HASTA 3 MESES,ENTRE 25 Y 30 AÑOS,CONTRATO DE 15 A 20 HORAS
4,54.0,200,CANTABRIA,Stephanie Berry,Holiday representative,ESPAÑA,2017-09-28,2018-02-23,2023-09-17,50.0,Baja voluntaria del trabajador,Mujer,1995-08-14,baxtersandra@empresa.org,INDEFINIDO,Lake Tracyhaven,John Jones,Kelsey Richardson,Salida,28.0,2149,6.0,MÁS DE 3 AÑOS,ENTRE 25 Y 30 AÑOS,CONTRATO DE 15 A 20 HORAS
3,55.0,200,MADRID,Melanie Anderson,Holiday representative,ESPAÑA,2017-09-27,2018-02-05,2018-02-05,37.5,Fin de contrato temporal,Mujer,1998-04-06,monica23@empresa.net,INDEFINIDO,Aaronfurt,John Jones,Kelsey Richardson,Salida,25.0,129,0.0,HASTA 3 MESES,ENTRE 25 Y 30 AÑOS,CONTRATO DE 15 A 20 HORAS
1,56.0,200,VIZCAYA,Craig Mitchell,Designer graphic,ESPAÑA,2019-02-01,2023-09-17,2023-09-17,90.0,Otros,Mujer,1991-11-25,ostrong@example.org,INDEFINIDO,Wesleyland,Todd Duarte,Catherine Walker MD,Activo,32.0,1665,5.0,MÁS DE 3 AÑOS,ENTRE 30 Y 35 AÑOS,CONTRATO DE 30 A 40 HORAS
403,57.0,402,MADRID,Nicholas Smith,Designer graphic,ESPAÑA,2021-04-26,2021-10-25,2021-10-25,90.0,Baja voluntaria del trabajador,Mujer,1997-03-23,melody33@empresa.net,CONTRATO TEMPORAL,Christinabury,Dominique Hernandez,Catherine Walker MD,Salida,26.0,179,0.0,HASTA 3 MESES,ENTRE 25 Y 30 AÑOS,CONTRATO DE 30 A 40 HORAS
403,58.0,189,MADRID,Isabella Mullins,Special effects artist,ESPAÑA,2021-04-23,2023-09-17,2023-09-17,100.0,Otros,Mujer,1988-03-04,nathansmith@empresa.com,INDEFINIDO,Christinabury,Dominique Hernandez,Catherine Walker MD,Activo,36.0,864,2.0,DE 2 A 3 AÑOS,MAYOR DE 35 AÑOS,CONTRATO DE 30 A 40 HORAS
3,59.0,289,MADRID,Christopher Aguilar,Holiday representative,ESPAÑA,2017-10-10,2019-04-30,2023-09-17,90.0,Baja voluntaria del trabajador,Mujer,1990-05-24,ireed@empresa.org,INDEFINIDO,Aaronfurt,John Jones,Kelsey Richardson,Salida,33.0,2137,6.0,MÁS DE 3 AÑOS,ENTRE 30 Y 35 AÑOS,CONTRATO DE 30 A 40 HORAS
10,60.0,289,CANTABRIA,Jesse Vargas,Holiday representative,ESPAÑA,2017-11-13,2020-02-29,2023-09-17,50.0,Baja voluntaria del trabajador,Mujer,1996-02-10,newmanamanda@empresa.net,INDEFINIDO,,,,Salida,28.0,2104,6.0,MÁS DE 3 AÑOS,ENTRE 25 Y 30 AÑOS,CONTRATO DE 15 A 20 HORAS
403,61.0,402,MADRID,Brian Day,Designer graphic,VENEZUELA,2021-05-06,2022-05-05,2022-05-05,82.5,Otros,Mujer,1990-03-18,johnsonjessica@empresa.org,CONTRATO TEMPORAL,Christinabury,Dominique Hernandez,Catherine Walker MD,Salida,33.0,359,1.0,DE 1 A 2 AÑOS,ENTRE 30 Y 35 AÑOS,CONTRATO DE 30 A 40 HORAS
403,62.0,289,MADRID,James West,Designer graphic,VENEZUELA,2021-05-10,2023-09-17,2023-09-17,87.5,Otros,Mujer,1999-12-03,moonleslie@empresa.com,INDEFINIDO,Christinabury,Dominique Hernandez,Catherine Walker MD,Activo,24.0,847,2.0,DE 2 A 3 AÑOS,MENOR DE 25 AÑOS,CONTRATO DE 30 A 40 HORAS
403,63.0,502,MADRID,Michael King,Designer graphic,PORTUGAL,2021-05-18,2021-06-17,2021-11-17,77.5,Fin de contrato temporal,Mujer,1991-09-21,zoelang@empresa.net,CONTRATO TEMPORAL,Christinabury,Dominique Hernandez,Catherine Walker MD,Salida,32.0,179,0.0,HASTA 3 MESES,ENTRE 30 Y 35 AÑOS,CONTRATO DE 30 A 40 HORAS
1,64.0,289,MADRID,Jeremy Turner,Designer graphic,ESPAÑA,2021-05-19,2023-04-22,2023-09-17,75.0,Despido del trabajador,Mujer,2001-03-16,blairjason@empresa.net,INDEFINIDO,Wesleyland,Todd Duarte,Catherine Walker MD,Salida,23.0,838,2.0,DE 2 A 3 AÑOS,MENOR DE 25 AÑOS,CONTRATO DE 30 A 40 HORAS
1,65.0,502,MADRID,Richard Cantrell,Designer graphic,ESPAÑA,2021-05-28,2021-06-30,2021-11-27,90.0,Otros,Mujer,1993-09-19,mflores@empresa.net,CONTRATO TEMPORAL,Wesleyland,Todd Duarte,Catherine Walker MD,Salida,30.0,179,0.0,HASTA 3 MESES,ENTRE 30 Y 35 AÑOS,CONTRATO DE 30 A 40 HORAS
2,66.0,402,MADRID,Ryan Larson,Teacher music,ESPAÑA,2021-06-08,2021-07-02,2021-12-07,100.0,Fin de contrato temporal,Hombre,1986-03-30,baileytommy@empresa.net,CONTRATO TEMPORAL,South Rebecca,John Jones,Kelsey Richardson,Salida,37.0,179,0.0,HASTA 3 MESES,MAYOR DE 35 AÑOS,CONTRATO DE 30 A 40 HORAS
2,67.0,502,NAVARRA,Rachel Franco,Holiday representative,ESPAÑA,2017-12-11,2018-02-26,2018-06-10,50.0,Baja voluntaria del trabajador,Mujer,1993-08-25,tramirez@empresa.net,CONTRATO TEMPORAL,South Rebecca,John Jones,Kelsey Richardson,Salida,30.0,179,0.0,HASTA 3 MESES,ENTRE 30 Y 35 AÑOS,CONTRATO DE 15 A 20 HORAS
1,69.0,502,MADRID,Sharon Turner,Designer graphic,VENEZUELA,2021-06-28,2021-11-03,2021-12-27,50.0,Baja voluntaria del trabajador,Mujer,1999-06-01,evelyncarey@empresa.org,CONTRATO TEMPORAL,Wesleyland,Todd Duarte,Catherine Walker MD,Salida,24.0,179,0.0,HASTA 3 MESES,MENOR DE 25 AÑOS,CONTRATO DE 15 A 20 HORAS
1,70.0,502,MADRID,Erin Perez,Designer graphic,ESPAÑA,2021-06-28,2021-08-30,2021-12-27,75.0,Baja voluntaria del trabajador,Mujer,1999-08-04,armstrongchristine@empresa.org,CONTRATO TEMPORAL,Wesleyland,Todd Duarte,Catherine Walker MD,Salida,24.0,179,0.0,HASTA 3 MESES,MENOR DE 25 AÑOS,CONTRATO DE 30 A 40 HORAS
2,71.0,289,MADRID,Briana Cruz,Designer graphic,VENEZUELA,2021-06-28,2023-09-17,2023-09-17,75.0,Otros,Mujer,1992-04-29,uconley@empresa.org,INDEFINIDO,South Rebecca,John Jones,Kelsey Richardson,Activo,31.0,799,2.0,DE 2 A 3 AÑOS,ENTRE 30 Y 35 AÑOS,CONTRATO DE 30 A 40 HORAS
2,72.0,502,MADRID,Robert Pena,Designer graphic,ESPAÑA,2021-07-28,2021-07-30,2021-10-27,75.0,Fin de contrato temporal,Mujer,1995-05-14,allen37@empresa.com,CONTRATO TEMPORAL,South Rebecca,John Jones,Kelsey Richardson,Salida,28.0,89,0.0,HASTA 3 MESES,ENTRE 25 Y 30 AÑOS,CONTRATO DE 30 A 40 HORAS
